Start Date,End Date,Campaign Name,Ad Set Name,Ad Name,Placement,Impressions,Clicks,Amount Spent (USD),Page Likes,Website Actions (All),Video Views,Mobile App Installs
2015-04-21,2015-04-21,Campaign4,Ad set1,pagepost_01,News Feed on Mobile Devices,14090,475,40.55,1,0,0,0
2015-04-20,2015-04-20,Campaign4,Ad set1,pagepost_01,News Feed on Mobile Devices,12216,477,39.69,2,0,0,0
2015-04-20,2015-04-20,Campaign4,Ad set1,pagepost_01,News Feed on Desktop Computers,569,13,1.05,0,0,0,0
2015-04-19,2015-04-19,Campaign4,Ad set1,pagepost_01,News Feed on Mobile Devices,9540,520,40.34,1,0,0,0
2015-04-19,2015-04-19,Campaign4,Ad set1,pagepost_01,News Feed on Desktop Computers,234,6,0.4,0,0,0,0
2015-04-18,2015-04-18,Campaign4,Ad set1,pagepost_01,News Feed on Desktop Computers,57,1,0.06,0,0,0,0
2015-04-18,2015-04-18,Campaign4,Ad set1,pagepost_01,News Feed on Mobile Devices,9086,490,40.68,0,0,0,0
2015-04-17,2015-04-17,Campaign4,Ad set1,pagepost_01,News Feed on Desktop Computers,203,2,0.15,0,0,0,0
2015-04-17,2015-04-17,Campaign4,Ad set1,pagepost_01,News Feed on Mobile Devices,13725,459,40.59,1,0,0,0
2015-04-23,2015-04-23,Campaign5,Ad set1,Video View 01,News Feed on Desktop Computers,1622,1,2.31,0,0,464,0
2015-04-23,2015-04-23,Campaign5,Ad set1,Video View 01,News Feed on Mobile Devices,3621,48,5.38,1,0,1256,0
2015-04-22,2015-04-22,Campaign5,Ad set1,Video View 01,News Feed on Desktop Computers,1313,6,1.42,0,0,335,0
2015-04-22,2015-04-22,Campaign5,Ad set1,Video View 01,News Feed on Mobile Devices,6500,78,7.36,1,0,2490,0
2015-04-21,2015-04-21,Campaign5,Ad set1,Video View 01,News Feed on Mobile Devices,6344,116,7.33,1,0,2613,0
2015-04-21,2015-04-21,Campaign5,Ad set1,Video View 01,News Feed on Desktop Computers,1526,9,1.45,0,0,374,0
2015-04-20,2015-04-20,Campaign5,Ad set1,Video View 01,News Feed on Desktop Computers,2174,5,2.42,0,0,573,0
2015-04-20,2015-04-20,Campaign5,Ad set1,Video View 01,News Feed on Mobile Devices,4229,96,6.36,1,0,1862,0
2015-04-19,2015-04-19,Campaign5,Ad set1,Video View 01,News Feed on Mobile Devices,4795,128,6.72,0,0,2020,0
2015-04-19,2015-04-19,Campaign5,Ad set1,Video View 01,News Feed on Desktop Computers,2063,11,2.06,0,0,529,0
2015-04-18,2015-04-18,Campaign5,Ad set1,Video View 01,News Feed on Desktop Computers,1992,7,2.36,0,0,550,0
2015-04-18,2015-04-18,Campaign5,Ad set1,Video View 01,News Feed on Mobile Devices,3666,116,6.42,0,0,1663,0
2015-04-17,2015-04-17,Campaign5,Ad set1,Video View 01,News Feed on Mobile Devices,2872,88,4.75,0,0,1316,0
2015-04-17,2015-04-17,Campaign5,Ad set1,Video View 01,News Feed on Desktop Computers,2880,17,4.03,0,0,835,0
2015-04-20,2015-04-20,Campaign6,Ad set1,pagepost_01,News Feed on Desktop Computers,648,21,0.86,0,0,0,0
2015-04-20,2015-04-20,Campaign6,Ad set1,pagepost_01,News Feed on Mobile Devices,6670,403,16.56,0,0,0,0
2015-04-19,2015-04-19,Campaign6,Ad set1,pagepost_01,News Feed on Desktop Computers,584,12,0.42,0,0,0,0
2015-04-19,2015-04-19,Campaign6,Ad set1,pagepost_01,News Feed on Mobile Devices,15133,871,27.62,1,0,0,0
2015-04-18,2015-04-18,Campaign6,Ad set1,pagepost_01,News Feed on Mobile Devices,11573,911,27.29,0,0,0,0
2015-04-18,2015-04-18,Campaign6,Ad set1,pagepost_01,News Feed on Desktop Computers,496,27,0.75,0,0,0,0
2015-04-23,2015-04-23,Campaign6,Ad set1,pagepost_02,News Feed on Mobile Devices,10596,606,24.1,1,0,0,0
2015-04-23,2015-04-23,Campaign6,Ad set1,pagepost_02,News Feed on Desktop Computers,344,15,0.6,0,0,0,0
2015-04-22,2015-04-22,Campaign6,Ad set1,pagepost_02,News Feed on Mobile Devices,11389,700,27.56,1,0,0,0
2015-04-22,2015-04-22,Campaign6,Ad set1,pagepost_02,News Feed on Desktop Computers,347,13,0.48,0,0,0,0
2015-04-21,2015-04-21,Campaign6,Ad set1,pagepost_02,News Feed on Mobile Devices,12397,694,26.85,0,0,0,0
2015-04-21,2015-04-21,Campaign6,Ad set1,pagepost_02,News Feed on Desktop Computers,432,30,1.19,1,0,0,0
2015-04-20,2015-04-20,Campaign6,Ad set1,pagepost_02,News Feed on Mobile Devices,4199,268,10.46,0,0,0,0
2015-04-20,2015-04-20,Campaign6,Ad set1,pagepost_02,News Feed on Desktop Computers,128,5,0.16,0,0,0,0
2015-04-21,2015-04-21,Campaign6,Ad set2,pagepost_01,News Feed on Desktop Computers,6,0,0,0,0,0,0
2015-04-21,2015-04-21,Campaign6,Ad set2,pagepost_01,News Feed on Mobile Devices,1669,47,3.43,0,0,0,0
2015-04-20,2015-04-20,Campaign6,Ad set2,pagepost_01,News Feed on Desktop Computers,368,9,0.54,0,0,0,0
